pitch_angle,tip_speed_ratio,mean_thrust_N,mean_torque_Nm,mean_power_W,case_path
0.0,3.0,437431.86500083335,8632558.649166666,3418403.1635416667,E:\Wright\Solvers\aerodynamics\aerodyn\run\parametric_analysis\DTU_10MW\003_blade.pitch_angle_1_blade.tip_speed_ratio_10\pitch_angle_0.0_tip_speed_ratio_3\DTU_10MW_ADdriver.out
0.0,4.0,713032.6331458333,12208100.278333334,6445705.908333333,E:\Wright\Solvers\aerodynamics\aerodyn\run\parametric_analysis\DTU_10MW\003_blade.pitch_angle_1_blade.tip_speed_ratio_10\pitch_angle_0.0_tip_speed_ratio_4\DTU_10MW_ADdriver.out
0.0,5.0,907424.9307066667,12586359.643333333,8306777.885416667,E:\Wright\Solvers\aerodynamics\aerodyn\run\parametric_analysis\DTU_10MW\003_blade.pitch_angle_1_blade.tip_speed_ratio_10\pitch_angle_0.0_tip_speed_ratio_5\DTU_10MW_ADdriver.out
0.0,6.0,1055084.3642458334,11980534.309166666,9488333.1875,E:\Wright\Solvers\aerodynamics\aerodyn\run\parametric_analysis\DTU_10MW\003_blade.pitch_angle_1_blade.tip_speed_ratio_10\pitch_angle_0.0_tip_speed_ratio_6\DTU_10MW_ADdriver.out
0.0,7.0,1171138.556,11032681.132083334,10193927.35875,E:\Wright\Solvers\aerodynamics\aerodyn\run\parametric_analysis\DTU_10MW\003_blade.pitch_angle_1_blade.tip_speed_ratio_10\pitch_angle_0.0_tip_speed_ratio_7\DTU_10MW_ADdriver.out
0.0,8.0,1264375.1860333334,10010221.917083334,10570513.854166666,E:\Wright\Solvers\aerodynamics\aerodyn\run\parametric_analysis\DTU_10MW\003_blade.pitch_angle_1_blade.tip_speed_ratio_10\pitch_angle_0.0_tip_speed_ratio_8\DTU_10MW_ADdriver.out
0.0,9.0,1345422.1560458334,9035128.29375,10733448.807083333,E:\Wright\Solvers\aerodynamics\aerodyn\run\parametric_analysis\DTU_10MW\003_blade.pitch_angle_1_blade.tip_speed_ratio_10\pitch_angle_0.0_tip_speed_ratio_9\DTU_10MW_ADdriver.out
0.0,10.0,1414153.1833791668,8084971.456875,10671880.358333332,E:\Wright\Solvers\aerodynamics\aerodyn\run\parametric_analysis\DTU_10MW\003_blade.pitch_angle_1_blade.tip_speed_ratio_10\pitch_angle_0.0_tip_speed_ratio_10\DTU_10MW_ADdriver.out
0.0,11.0,1465921.9840041667,7113033.959375,10327852.428333333,E:\Wright\Solvers\aerodynamics\aerodyn\run\parametric_analysis\DTU_10MW\003_blade.pitch_angle_1_blade.tip_speed_ratio_10\pitch_angle_0.0_tip_speed_ratio_11\DTU_10MW_ADdriver.out
0.0,12.0,1502569.1330208334,6124147.916875,9700394.715,E:\Wright\Solvers\aerodynamics\aerodyn\run\parametric_analysis\DTU_10MW\003_blade.pitch_angle_1_blade.tip_speed_ratio_10\pitch_angle_0.0_tip_speed_ratio_12\DTU_10MW_ADdriver.out
